t|uc_0|ud|m|x_0|x_1|x_2|h_0|h_1|h_2|h_3|h_4|yc_0|yc_1|yd
264480|3.5e-05|no|Def3|2.4994081873669685|-0.0030166634523969456|0.00821912254218005|1.0|0.928980443769417|0.9290514633256497|0.00877725302006016|0.00877725302006016|2.4912188997580738|38.35443183716399|no
264540|3.5e-05|no|Def3|2.497944159764937|-0.0019241776387029785|0.011583645354922761|1.0|0.9290230427221916|0.9290940196794715|0.008779235463571622|0.008779235463571622|2.481400066470596|38.5719955197137|no
264600|3.5e-05|ouvr v13|Def3|2.4976342473228805|2.6079382121729043e-05|0.010339317458373196|1.0|0.9290656161232608|0.9291365505071396|0.008781217903118255|0.008781217903118255|2.500314602609353|38.568639463314284|no
264660|3.5e-05|no|Def3|2.495828027321867|0.0010129839820439425|0.011066061177469144|1.0|0.9291081639879509|0.9291790558239652|0.008783200338700059|0.008783200338700059|2.4994542638884245|38.843511343781465|no
264720|3.5e-05|no|Def3|2.494007641690281|-4.6240166553228055e-05|0.009428796662209714|1.0|0.9291506863315795|0.92922153564525|0.008785182770316924|0.008785182770316924|2.498989856041014|38.70669836720718|no
264780|3.5e-05|no|Def3|2.497325869920329|0.00507840792835264|0.008672470545076716|1.0|0.9291931831694543|0.9292639899862869|0.00878716519796896|0.00878716519796896|2.4939435782033206|38.595528406886615|no
264840|3.5e-05|no|Def3|2.500545612500567|-0.003229348351149845|0.011693963373707593|1.0|0.9292356545168743|0.9293064188623594|0.008789147621656168|0.008789147621656168|2.467623521939418|38.600394735563185|no
264900|3.5e-05|no|Def3|2.4990060315085945|-0.0006227482601775441|0.0068847858319893915|1.0|0.9292781003891291|0.929348822288742|0.008791130041378548|0.008791130041378548|2.5070384976960822|38.79100168093551|no
264960|3.5e-05|no|Def3|2.500607194121069|-0.0017493131641346262|0.012551544896476294|1.0|0.9293205208014993|0.9293912002806999|0.008793112457136099|0.008793112457136099|2.484656388471034|38.627831528499776|no
265020|3.5e-05|no|Def3|2.5010752913106633|0.002728462879299487|0.010220352863934403|1.0|0.9293629157692562|0.929433552853489|0.008795094868928821|0.008795094868928821|2.5052733799410336|38.54099901349788|no
265080|3.5e-05|no|Def3|2.5013165136570286|4.9500743613502565e-05|0.01171661324413881|1.0|0.9294052853076621|0.9294758800223565|0.008797077276756715|0.008797077276756715|2.496620546922245|38.701807287961245|no
265140|3.5e-05|no|Def3|2.5031430013779543|-0.0022286926403994227|0.013830612458202711|1.0|0.9294476294319699|0.92951818180254|0.00879905968061978|0.00879905968061978|2.481476854383804|38.87656028564126|no
265200|3.5e-05|no|Def3|2.504439095970849|-0.002025799584336314|0.009471452465666167|1.0|0.9294899481574235|0.9295604582092681|0.008801042080518018|0.008801042080518018|2.5008196504830593|38.67335944147706|no
265260|3.5e-05|no|Def3|2.504449198489164|0.002655413129020049|0.010557791527982904|1.0|0.9295322414992577|0.9296027092577605|0.008803024476451426|0.008803024476451426|2.4835613274723776|38.92309789912555|no
265320|3.5e-05|no|Def3|2.5055788500685643|0.0011391281969144185|0.009375341427724913|1.0|0.9295745094726982|0.9296449349632274|0.008805006868420118|0.008805006868420118|2.5015077560092207|38.20661521550375|no
265380|3.5e-05|no|Def3|2.505214700669005|-0.0010371488323943892|0.009296812741677552|1.0|0.9296167520929611|0.9296871353408702|0.00880698925642398|0.00880698925642398|2.486142298089208|38.417639833968714|no
265440|3.5e-05|no|Def3|2.5063860115897336|-0.0001897578790070127|0.012444317386849979|1.0|0.9296589693752542|0.9297293104058809|0.008808971640463126|0.008808971640463126|2.5435850405674323|38.89111343280899|no
265500|3.5e-05|no|Def3|2.505549524025789|0.002539058204781294|0.012839219764766369|1.0|0.9297011613347754|0.9297714601734426|0.008810954020537443|0.008810954020537443|2.5227676500378005|38.67800805144994|no
265560|3.5e-05|no|Def3|2.50595833113466|-0.001838567874723816|0.01591119018183156|1.0|0.929743327986714|0.9298135846587292|0.008812936396647042|0.008812936396647042|2.514829716202959|39.130983476840804|no
